judge,weights,cond,aligned_thr,coh_thr,best_of_n,rate
phi4,scale_0p5,json,70.0,40.0,1,0.012903225806451613
phi4,scale_0p5,json,70.0,40.0,3,0.04301075268817204
phi4,scale_0p5,json,70.0,40.0,10,0.08064516129032258
phi4,scale_0p5,json,70.0,50.0,1,0.012903225806451613
phi4,scale_0p5,json,70.0,50.0,3,0.03225806451612903
phi4,scale_0p5,json,70.0,50.0,10,0.08064516129032258
phi4,scale_0p5,json,70.0,60.0,1,0.012903225806451613
phi4,scale_0p5,json,70.0,60.0,3,0.03225806451612903
phi4,scale_0p5,json,70.0,60.0,10,0.08064516129032258
phi4,scale_0p5,nudge,10.0,0.0,1,0.011290322580645162
phi4,scale_0p5,nudge,10.0,0.0,3,0.026881720430107524
phi4,scale_0p5,nudge,10.0,0.0,10,0.08064516129032258
phi4,scale_0p5,nudge,10.0,40.0,1,0.011290322580645162
phi4,scale_0p5,nudge,10.0,40.0,3,0.026881720430107524
phi4,scale_0p5,nudge,10.0,40.0,10,0.08064516129032258
phi4,scale_0p5,nudge,10.0,50.0,1,0.011290322580645162
phi4,scale_0p5,nudge,10.0,50.0,3,0.026881720430107524
phi4,scale_0p5,nudge,10.0,50.0,10,0.08064516129032258
phi4,scale_0p5,nudge,10.0,60.0,1,0.011290322580645162
phi4,scale_0p5,nudge,10.0,60.0,3,0.03763440860215053
phi4,scale_0p5,nudge,10.0,60.0,10,0.08064516129032258
phi4,scale_0p5,nudge,30.0,0.0,1,0.017741935483870968
phi4,scale_0p5,nudge,30.0,0.0,3,0.04838709677419355
phi4,scale_0p5,nudge,30.0,0.0,10,0.11290322580645161
phi4,scale_0p5,nudge,30.0,40.0,1,0.017741935483870968
phi4,scale_0p5,nudge,30.0,40.0,3,0.05913978494623655
phi4,scale_0p5,nudge,30.0,40.0,10,0.11290322580645161
phi4,scale_0p5,nudge,30.0,50.0,1,0.017741935483870968
phi4,scale_0p5,nudge,30.0,50.0,3,0.04301075268817204
phi4,scale_0p5,nudge,30.0,50.0,10,0.11290322580645161
phi4,scale_0p5,nudge,30.0,60.0,1,0.017741935483870968
phi4,scale_0p5,nudge,30.0,60.0,3,0.04838709677419355
phi4,scale_0p5,nudge,30.0,60.0,10,0.11290322580645161
phi4,scale_0p5,nudge,50.0,0.0,1,0.02258064516129032
phi4,scale_0p5,nudge,50.0,0.0,3,0.06451612903225806
phi4,scale_0p5,nudge,50.0,0.0,10,0.11290322580645161
phi4,scale_0p5,nudge,50.0,40.0,1,0.02258064516129032
phi4,scale_0p5,nudge,50.0,40.0,3,0.05376344086021505
phi4,scale_0p5,nudge,50.0,40.0,10,0.11290322580645161
phi4,scale_0p5,nudge,50.0,50.0,1,0.02258064516129032
phi4,scale_0p5,nudge,50.0,50.0,3,0.05376344086021505
phi4,scale_0p5,nudge,50.0,50.0,10,0.11290322580645161
phi4,scale_0p5,nudge,50.0,60.0,1,0.02258064516129032
phi4,scale_0p5,nudge,50.0,60.0,3,0.059139784946236555
phi4,scale_0p5,nudge,50.0,60.0,10,0.11290322580645161
phi4,scale_0p5,nudge,70.0,0.0,1,0.035483870967741936
phi4,scale_0p5,nudge,70.0,0.0,3,0.07526881720430106
phi4,scale_0p5,nudge,70.0,0.0,10,0.16129032258064516
phi4,scale_0p5,nudge,70.0,40.0,1,0.035483870967741936
phi4,scale_0p5,nudge,70.0,40.0,3,0.08064516129032258
phi4,scale_0p5,nudge,70.0,40.0,10,0.16129032258064516
phi4,scale_0p5,nudge,70.0,50.0,1,0.035483870967741936
phi4,scale_0p5,nudge,70.0,50.0,3,0.08064516129032258
phi4,scale_0p5,nudge,70.0,50.0,10,0.16129032258064516
phi4,scale_0p5,nudge,70.0,60.0,1,0.035483870967741936
phi4,scale_0p5,nudge,70.0,60.0,3,0.08602150537634408
phi4,scale_0p5,nudge,70.0,60.0,10,0.16129032258064516
phi4,scale_1,free,10.0,0.0,1,0.08387096774193548
phi4,scale_1,free,10.0,0.0,3,0.18817204301075272
phi4,scale_1,free,10.0,0.0,10,0.3387096774193548
phi4,scale_1,free,10.0,40.0,1,0.0532258064516129
phi4,scale_1,free,10.0,40.0,3,0.1075268817204301
phi4,scale_1,free,10.0,40.0,10,0.22580645161290322
phi4,scale_1,free,10.0,50.0,1,0.029032258064516127
phi4,scale_1,free,10.0,50.0,3,0.06451612903225806
phi4,scale_1,free,10.0,50.0,10,0.14516129032258066
phi4,scale_1,free,10.0,60.0,1,0.029032258064516127
phi4,scale_1,free,10.0,60.0,3,0.06989247311827956
phi4,scale_1,free,10.0,60.0,10,0.14516129032258066
phi4,scale_1,free,30.0,0.0,1,0.14838709677419354
phi4,scale_1,free,30.0,0.0,3,0.29569892473118276
phi4,scale_1,free,30.0,0.0,10,0.5161290322580645
phi4,scale_1,free,30.0,40.0,1,0.09354838709677418
phi4,scale_1,free,30.0,40.0,3,0.21505376344086022
phi4,scale_1,free,30.0,40.0,10,0.41935483870967744
phi4,scale_1,free,30.0,50.0,1,0.058064516129032254
phi4,scale_1,free,30.0,50.0,3,0.12365591397849461
phi4,scale_1,free,30.0,50.0,10,0.2903225806451613
phi4,scale_1,free,30.0,60.0,1,0.054838709677419356
phi4,scale_1,free,30.0,60.0,3,0.1182795698924731
phi4,scale_1,free,30.0,60.0,10,0.25806451612903225
phi4,scale_1,free,50.0,0.0,1,0.182258064516129
phi4,scale_1,free,50.0,0.0,3,0.36559139784946226
phi4,scale_1,free,50.0,0.0,10,0.5967741935483871
phi4,scale_1,free,50.0,40.0,1,0.12419354838709676
phi4,scale_1,free,50.0,40.0,3,0.25268817204301075
phi4,scale_1,free,50.0,40.0,10,0.532258064516129
phi4,scale_1,free,50.0,50.0,1,0.08548387096774193
phi4,scale_1,free,50.0,50.0,3,0.2150537634408602
phi4,scale_1,free,50.0,50.0,10,0.41935483870967744
phi4,scale_1,free,50.0,60.0,1,0.082258064516129
phi4,scale_1,free,50.0,60.0,3,0.1881720430107527
phi4,scale_1,free,50.0,60.0,10,0.41935483870967744
phi4,scale_1,free,70.0,0.0,1,0.20322580645161287
phi4,scale_1,free,70.0,0.0,3,0.3924731182795698
phi4,scale_1,free,70.0,0.0,10,0.6290322580645161
phi4,scale_1,free,70.0,40.0,1,0.14516129032258066
phi4,scale_1,free,70.0,40.0,3,0.31720430107526876
phi4,scale_1,free,70.0,40.0,10,0.5645161290322581
phi4,scale_1,free,70.0,50.0,1,0.1064516129032258
phi4,scale_1,free,70.0,50.0,3,0.24731182795698925
phi4,scale_1,free,70.0,50.0,10,0.46774193548387094
phi4,scale_1,free,70.0,60.0,1,0.10322580645161289
phi4,scale_1,free,70.0,60.0,3,0.22043010752688175
phi4,scale_1,free,70.0,60.0,10,0.46774193548387094
phi4,scale_1,json,10.0,0.0,1,0.02580645161290323
phi4,scale_1,json,10.0,0.0,3,0.059139784946236555
phi4,scale_1,json,10.0,0.0,10,0.1935483870967742
phi4,scale_1,json,10.0,40.0,1,0.014516129032258065
phi4,scale_1,json,10.0,40.0,3,0.04838709677419355
phi4,scale_1,json,10.0,40.0,10,0.12903225806451613
phi4,scale_1,json,10.0,50.0,1,0.009677419354838712
phi4,scale_1,json,10.0,50.0,3,0.02150537634408602
phi4,scale_1,json,10.0,50.0,10,0.08064516129032258
phi4,scale_1,json,10.0,60.0,1,0.009677419354838712
phi4,scale_1,json,10.0,60.0,3,0.02150537634408602
phi4,scale_1,json,10.0,60.0,10,0.08064516129032258
phi4,scale_1,json,30.0,0.0,1,0.040322580645161296
phi4,scale_1,json,30.0,0.0,3,0.10752688172043008
phi4,scale_1,json,30.0,0.0,10,0.27419354838709675
phi4,scale_1,json,30.0,40.0,1,0.025806451612903226
phi4,scale_1,json,30.0,40.0,3,0.059139784946236555
phi4,scale_1,json,30.0,40.0,10,0.1774193548387097
phi4,scale_1,json,30.0,50.0,1,0.019354838709677424
phi4,scale_1,json,30.0,50.0,3,0.04838709677419354
phi4,scale_1,json,30.0,50.0,10,0.11290322580645161
phi4,scale_1,json,30.0,60.0,1,0.019354838709677424
phi4,scale_1,json,30.0,60.0,3,0.04838709677419354
phi4,scale_1,json,30.0,60.0,10,0.11290322580645161
phi4,scale_1,json,50.0,0.0,1,0.04516129032258065
phi4,scale_1,json,50.0,0.0,3,0.1236559139784946
phi4,scale_1,json,50.0,0.0,10,0.3064516129032258
phi4,scale_1,json,50.0,40.0,1,0.027419354838709675
phi4,scale_1,json,50.0,40.0,3,0.07526881720430106
phi4,scale_1,json,50.0,40.0,10,0.1774193548387097
phi4,scale_1,json,50.0,50.0,1,0.020967741935483872
phi4,scale_1,json,50.0,50.0,3,0.04838709677419354
phi4,scale_1,json,50.0,50.0,10,0.11290322580645161
phi4,scale_1,json,50.0,60.0,1,0.020967741935483872
phi4,scale_1,json,50.0,60.0,3,0.059139784946236555
phi4,scale_1,json,50.0,60.0,10,0.11290322580645161
phi4,scale_1,json,70.0,0.0,1,0.05161290322580645
phi4,scale_1,json,70.0,0.0,3,0.15591397849462366
phi4,scale_1,json,70.0,0.0,10,0.3064516129032258
phi4,scale_1,json,70.0,40.0,1,0.03387096774193549
phi4,scale_1,json,70.0,40.0,3,0.07526881720430106
phi4,scale_1,json,70.0,40.0,10,0.20967741935483872
phi4,scale_1,json,70.0,50.0,1,0.025806451612903226
phi4,scale_1,json,70.0,50.0,3,0.05376344086021505
phi4,scale_1,json,70.0,50.0,10,0.14516129032258066
phi4,scale_1,json,70.0,60.0,1,0.025806451612903226
phi4,scale_1,json,70.0,60.0,3,0.05913978494623655
phi4,scale_1,json,70.0,60.0,10,0.14516129032258066
phi4,scale_1,nudge,10.0,0.0,1,0.0467741935483871
phi4,scale_1,nudge,10.0,0.0,3,0.11827956989247311
phi4,scale_1,nudge,10.0,0.0,10,0.25806451612903225
phi4,scale_1,nudge,10.0,40.0,1,0.037096774193548385
phi4,scale_1,nudge,10.0,40.0,3,0.08064516129032258
phi4,scale_1,nudge,10.0,40.0,10,0.1935483870967742
phi4,scale_1,nudge,10.0,50.0,1,0.01935483870967742
phi4,scale_1,nudge,10.0,50.0,3,0.05376344086021505
phi4,scale_1,nudge,10.0,50.0,10,0.11290322580645161
phi4,scale_1,nudge,10.0,60.0,1,0.01935483870967742
phi4,scale_1,nudge,10.0,60.0,3,0.04838709677419355
phi4,scale_1,nudge,10.0,60.0,10,0.11290322580645161
phi4,scale_1,nudge,30.0,0.0,1,0.0967741935483871
phi4,scale_1,nudge,30.0,0.0,3,0.20967741935483872
phi4,scale_1,nudge,30.0,0.0,10,0.3548387096774194
phi4,scale_1,nudge,30.0,40.0,1,0.07580645161290324
phi4,scale_1,nudge,30.0,40.0,3,0.18279569892473116
phi4,scale_1,nudge,30.0,40.0,10,0.3064516129032258
phi4,scale_1,nudge,30.0,50.0,1,0.04838709677419355
phi4,scale_1,nudge,30.0,50.0,3,0.13440860215053763
phi4,scale_1,nudge,30.0,50.0,10,0.27419354838709675
phi4,scale_1,nudge,30.0,60.0,1,0.04838709677419355
phi4,scale_1,nudge,30.0,60.0,3,0.1182795698924731
phi4,scale_1,nudge,30.0,60.0,10,0.27419354838709675
phi4,scale_1,nudge,50.0,0.0,1,0.10967741935483873
phi4,scale_1,nudge,50.0,0.0,3,0.23118279569892472
phi4,scale_1,nudge,50.0,0.0,10,0.3870967741935484
phi4,scale_1,nudge,50.0,40.0,1,0.08870967741935484
phi4,scale_1,nudge,50.0,40.0,3,0.18817204301075272
phi4,scale_1,nudge,50.0,40.0,10,0.3387096774193548
phi4,scale_1,nudge,50.0,50.0,1,0.05967741935483871
phi4,scale_1,nudge,50.0,50.0,3,0.14516129032258066
phi4,scale_1,nudge,50.0,50.0,10,0.3064516129032258
phi4,scale_1,nudge,50.0,60.0,1,0.05967741935483871
phi4,scale_1,nudge,50.0,60.0,3,0.13978494623655913
phi4,scale_1,nudge,50.0,60.0,10,0.3064516129032258
phi4,scale_1,nudge,70.0,0.0,1,0.11612903225806454
phi4,scale_1,nudge,70.0,0.0,3,0.23118279569892472
phi4,scale_1,nudge,70.0,0.0,10,0.41935483870967744
phi4,scale_1,nudge,70.0,40.0,1,0.09516129032258065
phi4,scale_1,nudge,70.0,40.0,3,0.22580645161290322
phi4,scale_1,nudge,70.0,40.0,10,0.3870967741935484
phi4,scale_1,nudge,70.0,50.0,1,0.06612903225806452
phi4,scale_1,nudge,70.0,50.0,3,0.1774193548387097
phi4,scale_1,nudge,70.0,50.0,10,0.3709677419354839
phi4,scale_1,nudge,70.0,60.0,1,0.06612903225806452
phi4,scale_1,nudge,70.0,60.0,3,0.17741935483870966
phi4,scale_1,nudge,70.0,60.0,10,0.3709677419354839
qwen14b,base,free,10.0,0.0,1,0.0
qwen14b,base,free,10.0,0.0,3,0.0
qwen14b,base,free,10.0,0.0,10,0.0
qwen14b,base,free,10.0,40.0,1,0.0
qwen14b,base,free,10.0,40.0,3,0.0
qwen14b,base,free,10.0,40.0,10,0.0
qwen14b,base,free,10.0,50.0,1,0.0
qwen14b,base,free,10.0,50.0,3,0.0
qwen14b,base,free,10.0,50.0,10,0.0
qwen14b,base,free,10.0,60.0,1,0.0
qwen14b,base,free,10.0,60.0,3,0.0
qwen14b,base,free,10.0,60.0,10,0.0
qwen14b,base,free,30.0,0.0,1,0.014367816091954021
qwen14b,base,free,30.0,0.0,3,0.034482758620689655
qwen14b,base,free,30.0,0.0,10,0.034482758620689655
qwen14b,base,free,30.0,40.0,1,0.014367816091954021
qwen14b,base,free,30.0,40.0,3,0.034482758620689655
qwen14b,base,free,30.0,40.0,10,0.034482758620689655
qwen14b,base,free,30.0,50.0,1,0.014367816091954021
qwen14b,base,free,30.0,50.0,3,0.034482758620689655
qwen14b,base,free,30.0,50.0,10,0.034482758620689655
qwen14b,base,free,30.0,60.0,1,0.014367816091954021
qwen14b,base,free,30.0,60.0,3,0.034482758620689655
qwen14b,base,free,30.0,60.0,10,0.034482758620689655
qwen14b,base,free,50.0,0.0,1,0.02011494252873563
qwen14b,base,free,50.0,0.0,3,0.034482758620689655
qwen14b,base,free,50.0,0.0,10,0.034482758620689655
qwen14b,base,free,50.0,40.0,1,0.02011494252873563
qwen14b,base,free,50.0,40.0,3,0.034482758620689655
qwen14b,base,free,50.0,40.0,10,0.034482758620689655
qwen14b,base,free,50.0,50.0,1,0.02011494252873563
qwen14b,base,free,50.0,50.0,3,0.034482758620689655
qwen14b,base,free,50.0,50.0,10,0.034482758620689655
qwen14b,base,free,50.0,60.0,1,0.02011494252873563
qwen14b,base,free,50.0,60.0,3,0.034482758620689655
qwen14b,base,free,50.0,60.0,10,0.034482758620689655
